Application_ID,District_Name,Gender,Sector,Residential_Type,Enterprise_Type,Monthly_Income_INR,Loan_Tenure_Months,Total_TAT_Days,Risk_Score,Repayment_Status,Loan_Amount_INR
1226,Kupwara,Unknown,Tourism,Urban,Existing Enterprise,14968.0,24.0,188.0,67.0,On-Time,2637786.0
1227,Reasi,Unknown,Tourism,Rural,Msme Sunrise Sector,18614.0,12.0,164.0,74.0,Default,1427880.0
1228,Kishtwar,Other,Retail,Urban,Unknown,47182.0,18.0,188.0,56.0,On-Time,1830212.5
1229,Rajouri,Male,It,Rural,Unknown,15162.0,60.0,198.0,22.0,Unknown,27762.0
1230,Budgam,Male,Agri,Unknown,Unknown,119326.0,18.0,188.0,63.0,On-Time,1830212.5
1231,Samba,Female,Agri,Rural,Existing Enterprise,26139.0,12.0,189.0,51.0,Late,3697588.0
1232,Reasi,Female,Unknown,Unknown,Nano Entrepreneur,97112.0,12.0,212.0,21.0,On-Time,1157017.0
1233,Udhampur,Female,Services,Rural,Existing Enterprise,106075.0,12.0,188.0,86.0,Late,29753.0
1234,Jammu,Female,It,Urban,Nano Entrepreneur,76978.0,18.0,212.0,51.0,Late,2052382.0
1235,Samba,Male,Services,Urban,Nano Entrepreneur,89255.0,24.0,188.0,3.0,Late,12405.0
1236,Srinagar,Male,Healthcare,Unknown,Existing Enterprise,44954.0,12.0,188.0,76.0,Unknown,1830212.5
1237,Bandipora,Male,Tourism,Unknown,Msme Sunrise Sector,105611.0,12.0,208.0,33.0,On-Time,38997.0
1238,Jammu,Female,Manufacturing,Rural,Unknown,80495.0,36.0,206.0,41.0,Default,4863000.0
1239,Kulgam,Female,Agri,Urban,Unknown,106863.0,48.0,212.0,74.0,On-Time,3878527.0
1240,Ramban,Female,It,Unknown,Nano Entrepreneur,80736.0,48.0,164.0,82.0,On-Time,3513000.0
1241,Ramban,Female,It,Urban,Msme Sunrise Sector,35326.0,48.0,212.0,51.0,On-Time,4034032.0
1242,Ramban,Other,Tourism,Rural,Unknown,28231.0,18.0,188.0,8.0,On-Time,865573.0
1243,Pulwama,Male,Unknown,Unknown,Nano Entrepreneur,112738.0,60.0,188.0,62.0,On-Time,1830212.5
1244,Jammu,Female,Services,Urban,Msme Sunrise Sector,94841.0,36.0,188.0,63.0,Late,190000.0
1245,Doda,Female,Unknown,Urban,Existing Enterprise,47833.0,36.0,188.0,73.0,Late,4338821.0
1246,Srinagar,Other,Healthcare,Rural,Nano Entrepreneur,90987.0,18.0,188.0,49.0,On-Time,3297000.0
1247,Rajouri,Male,Services,Rural,Nano Entrepreneur,37987.0,60.0,164.0,52.0,On-Time,28663.0
1248,Poonch,Other,Manufacturing,Urban,Nano Entrepreneur,52250.0,60.0,184.0,14.0,On-Time,1830212.5
1249,Kulgam,Female,It,Urban,Nano Entrepreneur,24908.0,35.12,188.0,97.0,Late,4659489.0
1250,Udhampur,Female,Manufacturing,Urban,Msme Sunrise Sector,64658.0,48.0,188.0,83.0,On-Time,811043.0
1251,Jammu,Male,It,Unknown,Msme Sunrise Sector,115449.0,36.0,205.0,6.0,On-Time,1830212.5
1252,Srinagar,Female,Tourism,Rural,Existing Enterprise,75828.0,24.0,188.0,51.0,Default,1708.0
1253,Kulgam,Other,Agri,Rural,Nano Entrepreneur,93590.0,36.0,188.0,70.0,Default,189322.0
1254,Kulgam,Other,Unknown,Urban,Existing Enterprise,75443.0,18.0,177.0,51.0,Unknown,3045963.0
1255,Doda,Male,Tourism,Urban,Existing Enterprise,79205.0,18.0,164.0,91.0,Late,876000.0
1256,Doda,Male,Retail,Urban,Nano Entrepreneur,77409.0,36.0,188.0,49.0,Unknown,4127111.0
1257,Poonch,Other,Tourism,Urban,Existing Enterprise,27294.0,24.0,188.0,89.0,On-Time,377005.0
1258,Reasi,Male,Services,Urban,Unknown,32503.0,18.0,206.0,75.0,Late,3519194.0
1259,Kishtwar,Male,Healthcare,Rural,Unknown,74360.0,35.12,188.0,21.0,On-Time,23919.0
1260,Budgam,Unknown,It,Urban,Nano Entrepreneur,28650.0,12.0,169.0,96.0,On-Time,4610433.0
1261,Srinagar,Other,Retail,Rural,Unknown,50376.0,48.0,212.0,25.0,Late,1830212.5
1262,Kathua,Female,Agri,Rural,Unknown,64658.0,60.0,188.0,57.0,Default,8263.0
1263,Reasi,Male,Unknown,Unknown,Nano Entrepreneur,79265.0,24.0,188.0,1.0,Late,3637333.0
1264,Shopian,Unknown,Unknown,Urban,Existing Enterprise,16630.0,35.12,188.0,97.0,On-Time,36250.0
1265,Kulgam,Female,It,Urban,Existing Enterprise,21659.0,48.0,188.0,84.0,Unknown,8847.0
1266,Shopian,Unknown,Unknown,Rural,Existing Enterprise,15968.0,12.0,188.0,42.0,On-Time,2381165.0
1267,Udhampur,Female,Retail,Urban,Existing Enterprise,39706.0,12.0,212.0,70.0,On-Time,1830212.5
1268,Jammu,Male,Healthcare,Rural,Nano Entrepreneur,49132.0,35.12,212.0,80.0,Late,14468.0
1269,Samba,Male,Tourism,Rural,Msme Sunrise Sector,14025.0,35.12,188.0,9.0,On-Time,1613819.0
1270,Kishtwar,Female,It,Urban,Existing Enterprise,82579.0,60.0,164.0,36.0,Late,901059.0
1271,Shopian,Male,Unknown,Rural,Existing Enterprise,67649.0,12.0,188.0,31.0,On-Time,35940.0
1272,Kulgam,Other,Unknown,Rural,Msme Sunrise Sector,46837.0,35.12,188.0,72.0,On-Time,21013.0
1273,Ganderbal,Unknown,Manufacturing,Urban,Msme Sunrise Sector,64658.0,36.0,212.0,58.0,Default,1341000.0
1274,Baramulla,Unknown,It,Rural,Existing Enterprise,17422.0,24.0,188.0,40.0,Unknown,1830212.5
1275,Srinagar,Other,Manufacturing,Urban,Unknown,116336.0,36.0,188.0,93.0,Late,1830212.5
1276,Anantnag,Female,Manufacturing,Rural,Existing Enterprise,116893.0,36.0,212.0,32.0,Late,38928.0
1277,Jammu,Male,It,Urban,Nano Entrepreneur,76862.0,24.0,188.0,47.0,Unknown,1093000.0
1278,Udhampur,Female,Unknown,Urban,Nano Entrepreneur,115368.0,24.0,189.0,43.0,Unknown,3152606.0
1279,Baramulla,Male,Services,Urban,Msme Sunrise Sector,78136.0,12.0,188.0,51.0,Late,494504.0
1280,Kulgam,Female,Unknown,Urban,Nano Entrepreneur,64658.0,36.0,188.0,51.0,Default,1830212.5
1281,Ganderbal,Male,Healthcare,Rural,Nano Entrepreneur,8229.0,48.0,205.0,79.0,Default,521391.0
1282,Anantnag,Female,It,Unknown,Unknown,62678.0,60.0,188.0,28.0,Late,47100.0
1283,Samba,Male,Healthcare,Rural,Nano Entrepreneur,29260.0,36.0,164.0,51.0,On-Time,2855129.0
1284,Udhampur,Male,Services,Rural,Nano Entrepreneur,98766.0,48.0,212.0,2.0,On-Time,38667.0
1285,Bandipora,Female,Manufacturing,Rural,Msme Sunrise Sector,71242.0,12.0,188.0,49.0,Late,1830212.5
1285,Budgam,Female,Tourism,Urban,Existing Enterprise,16994.0,12.0,164.0,62.0,On-Time,1830212.5
1287,Ramban,Female,Healthcare,Urban,Existing Enterprise,80142.0,24.0,188.0,9.0,Unknown,4955239.0
1288,Srinagar,Male,Retail,Urban,Msme Sunrise Sector,107092.0,60.0,209.0,19.0,Late,23108.0
1289,Reasi,Unknown,Healthcare,Urban,Unknown,24398.0,35.12,164.0,26.0,Late,4607730.0
1290,Pulwama,Male,Tourism,Rural,Existing Enterprise,64802.0,36.0,167.0,80.0,On-Time,45675.0
1291,Baramulla,Other,Tourism,Unknown,Existing Enterprise,105935.0,60.0,212.0,65.0,Late,2399594.0
1292,Kishtwar,Unknown,It,Unknown,Msme Sunrise Sector,37979.0,48.0,188.0,57.0,Late,1830212.5
1292,Udhampur,Female,Agri,Urban,Unknown,37252.0,12.0,188.0,21.0,Default,1830212.5
1294,Kathua,Female,Manufacturing,Urban,Existing Enterprise,59326.0,36.0,205.0,43.0,Late,46911.0
1295,Samba,Unknown,Agri,Urban,Existing Enterprise,66080.0,35.12,188.0,87.0,On-Time,5556021.0
1296,Samba,Other,Healthcare,Unknown,Msme Sunrise Sector,27760.0,60.0,212.0,80.0,Late,33471.0
1297,Samba,Unknown,Manufacturing,Urban,Unknown,22147.0,35.12,164.0,26.0,Default,1054272.0
1298,Kishtwar,Unknown,Agri,Rural,Unknown,76457.0,18.0,164.0,64.0,Default,3853441.0
1299,Udhampur,Female,Tourism,Urban,Msme Sunrise Sector,64658.0,18.0,188.0,13.0,Late,1830212.5
1299,Srinagar,Unknown,Manufacturing,Rural,Existing Enterprise,33960.0,48.0,188.0,21.0,On-Time,3889830.0
1301,Ramban,Other,Healthcare,Urban,Nano Entrepreneur,110836.0,24.0,188.0,31.0,Default,1830212.5
1302,Poonch,Male,Tourism,Urban,Nano Entrepreneur,107362.0,18.0,188.0,90.0,On-Time,36582.0
1303,Poonch,Female,Retail,Rural,Msme Sunrise Sector,32243.0,36.0,188.0,74.0,On-Time,3875204.0
1304,Kishtwar,Other,Retail,Unknown,Existing Enterprise,64658.0,36.0,184.0,33.0,Late,49499.0
1305,Anantnag,Other,Services,Rural,Unknown,28167.0,36.0,164.0,56.0,Unknown,2386413.0
1306,Poonch,Female,It,Unknown,Existing Enterprise,97000.0,12.0,164.0,33.0,On-Time,1830212.5
1307,Kupwara,Other,Retail,Urban,Nano Entrepreneur,36932.0,60.0,164.0,38.0,On-Time,1830212.5
1308,Pulwama,Female,Manufacturing,Unknown,Existing Enterprise,118794.0,35.12,188.0,2.0,Unknown,1830212.5
1309,Poonch,Female,It,Rural,Existing Enterprise,61582.0,60.0,212.0,90.0,On-Time,1132050.0
1310,Shopian,Female,It,Urban,Msme Sunrise Sector,102239.0,60.0,212.0,24.0,Default,11231.0
1311,Doda,Female,Retail,Rural,Msme Sunrise Sector,14744.0,36.0,188.0,15.0,Default,2975793.0
1312,Rajouri,Female,Tourism,Rural,Nano Entrepreneur,65671.0,18.0,205.0,72.0,Late,11476.0
1313,Kathua,Male,Services,Unknown,Existing Enterprise,77612.0,12.0,212.0,84.0,Unknown,1830212.5
1314,Jammu,Male,Agri,Urban,Msme Sunrise Sector,36874.0,24.0,188.0,14.0,Late,3964911.0
1315,Bandipora,Unknown,Healthcare,Rural,Unknown,19200.0,18.0,178.0,51.0,On-Time,1830212.5
1316,Baramulla,Female,Unknown,Rural,Nano Entrepreneur,45343.0,36.0,164.0,75.0,Late,617690.0
1317,Doda,Male,It,Urban,Nano Entrepreneur,69141.0,36.0,212.0,80.0,Late,3609000.0
1317,Anantnag,Other,Manufacturing,Rural,Existing Enterprise,23429.0,36.0,188.0,49.0,On-Time,3172298.0
1319,Udhampur,Male,Tourism,Rural,Nano Entrepreneur,24470.0,12.0,188.0,99.0,Late,1044562.0
1320,Rajouri,Female,It,Urban,Nano Entrepreneur,27899.0,35.12,185.0,40.0,On-Time,4242000.0
1321,Rajouri,Female,Unknown,Rural,Nano Entrepreneur,45423.0,36.0,200.0,87.0,On-Time,2236305.0
1322,Srinagar,Female,Retail,Rural,Nano Entrepreneur,71171.0,24.0,164.0,38.0,Unknown,523638.0
1323,Reasi,Male,Manufacturing,Urban,Existing Enterprise,22427.0,24.0,188.0,91.0,Late,1146179.0
1324,Kupwara,Female,Services,Urban,Existing Enterprise,64658.0,18.0,177.0,41.0,On-Time,4158017.0
1325,Kathua,Female,Retail,Urban,Nano Entrepreneur,27084.0,36.0,164.0,72.0,Unknown,1830212.5
1326,Ganderbal,Male,Tourism,Rural,Nano Entrepreneur,58701.0,12.0,164.0,82.0,Default,4753468.0
1327,Ramban,Other,Unknown,Urban,Unknown,9779.0,60.0,188.0,45.0,Late,819743.0
1328,Anantnag,Other,Unknown,Urban,Existing Enterprise,110907.0,35.12,188.0,31.0,On-Time,2513.0
1328,Kulgam,Unknown,Agri,Urban,Nano Entrepreneur,9660.0,60.0,212.0,13.0,Late,1101430.0
1330,Anantnag,Unknown,Manufacturing,Urban,Msme Sunrise Sector,114095.0,12.0,188.0,77.0,Unknown,3094000.0
1331,Jammu,Male,Manufacturing,Rural,Nano Entrepreneur,31205.0,36.0,212.0,47.0,Late,1449000.0
1332,Baramulla,Female,Manufacturing,Rural,Existing Enterprise,34468.0,60.0,202.0,40.0,On-Time,1830212.5
1333,Anantnag,Female,Services,Urban,Nano Entrepreneur,26613.0,12.0,164.0,39.0,On-Time,48759.0
1334,Udhampur,Male,Healthcare,Unknown,Nano Entrepreneur,51306.0,24.0,164.0,62.0,Default,14993.0
1335,Kupwara,Unknown,Agri,Urban,Unknown,57868.0,18.0,188.0,55.0,Late,1402000.0
1336,Doda,Male,Agri,Rural,Nano Entrepreneur,90297.0,12.0,191.0,79.0,Late,4463911.0
1337,Udhampur,Male,Manufacturing,Urban,Existing Enterprise,9815.0,48.0,164.0,54.0,Late,2099991.0
1338,Budgam,Female,Services,Rural,Existing Enterprise,69529.0,18.0,212.0,53.0,Unknown,4014000.0
1339,Kupwara,Other,Unknown,Rural,Existing Enterprise,29549.0,18.0,207.0,53.0,Unknown,3109000.0
1340,Kupwara,Unknown,Services,Unknown,Existing Enterprise,51400.0,35.12,212.0,86.0,Late,5278465.0
1341,Kupwara,Unknown,Healthcare,Unknown,Unknown,12355.0,60.0,186.0,36.0,On-Time,5102745.0
1342,Doda,Other,Retail,Rural,Nano Entrepreneur,12111.0,18.0,200.0,3.0,On-Time,4313536.0
1343,Reasi,Female,It,Unknown,Unknown,60845.0,35.12,188.0,60.0,Unknown,3998213.0
1344,Reasi,Other,Services,Rural,Existing Enterprise,37987.0,12.0,188.0,38.0,Unknown,4517000.0
1345,Samba,Male,Retail,Urban,Nano Entrepreneur,97293.0,12.0,164.0,65.0,Unknown,3909.0
1346,Baramulla,Unknown,Agri,Rural,Nano Entrepreneur,70584.0,24.0,164.0,9.0,Default,39413.0
1347,Shopian,Female,Unknown,Unknown,Nano Entrepreneur,61951.0,60.0,188.0,73.0,Late,1701000.0
1348,Baramulla,Female,It,Rural,Existing Enterprise,107847.0,24.0,188.0,55.0,On-Time,1119.0
1349,Srinagar,Male,Healthcare,Rural,Existing Enterprise,108499.0,48.0,185.0,87.0,Late,1791679.0
1350,Baramulla,Male,Tourism,Unknown,Nano Entrepreneur,38689.0,48.0,164.0,34.0,Unknown,2081930.0
1351,Bandipora,Female,Unknown,Rural,Unknown,118554.0,24.0,188.0,24.0,On-Time,709000.0
1352,Anantnag,Unknown,Healthcare,Urban,Existing Enterprise,81902.0,48.0,188.0,48.0,Unknown,1830212.5
1353,Baramulla,Male,Retail,Unknown,Unknown,85174.0,36.0,212.0,97.0,Default,583402.0
1354,Srinagar,Female,Retail,Unknown,Unknown,74374.0,24.0,164.0,56.0,Late,1830212.5
1355,Srinagar,Male,Healthcare,Urban,Nano Entrepreneur,65931.0,60.0,188.0,38.0,Late,1830212.5
1356,Poonch,Male,Healthcare,Rural,Nano Entrepreneur,25062.0,60.0,172.0,3.0,Unknown,4376000.0
1357,Anantnag,Female,Services,Urban,Existing Enterprise,70748.0,60.0,188.0,41.0,Late,16119.0
1358,Poonch,Female,Services,Unknown,Nano Entrepreneur,98448.0,35.12,188.0,81.0,On-Time,3475796.0
1359,Kishtwar,Male,Healthcare,Unknown,Nano Entrepreneur,46784.0,12.0,188.0,32.0,On-Time,1830212.5
1360,Udhampur,Female,Unknown,Urban,Unknown,54953.0,48.0,188.0,15.0,Unknown,455000.0
1361,Ramban,Female,Manufacturing,Urban,Nano Entrepreneur,90677.0,60.0,188.0,3.0,Unknown,10843.0
1362,Kishtwar,Male,Services,Urban,Nano Entrepreneur,64658.0,35.12,182.0,19.0,Unknown,2826000.0
1363,Kulgam,Male,Tourism,Urban,Unknown,25050.0,12.0,188.0,49.0,Late,4143000.0
1364,Srinagar,Male,Agri,Urban,Nano Entrepreneur,44734.0,36.0,183.0,88.0,Late,302000.0
1365,Rajouri,Female,Manufacturing,Rural,Existing Enterprise,59947.0,35.12,184.0,55.0,Late,4369897.0
1366,Jammu,Male,Unknown,Rural,Nano Entrepreneur,111940.0,35.12,202.0,66.0,Default,22072.0
1367,Jammu,Male,Healthcare,Rural,Existing Enterprise,97290.0,18.0,188.0,10.0,Late,1061610.0
1368,Rajouri,Unknown,It,Urban,Nano Entrepreneur,87900.0,24.0,188.0,28.0,Default,640000.0
1369,Samba,Unknown,Agri,Rural,Nano Entrepreneur,73242.0,12.0,188.0,51.0,Unknown,5106971.0
1370,Reasi,Other,Agri,Unknown,Existing Enterprise,52223.0,60.0,197.0,5.0,Late,4240000.0
1371,Reasi,Male,Manufacturing,Urban,Existing Enterprise,41029.0,35.12,188.0,96.0,Late,39597.0
1371,Udhampur,Male,Agri,Rural,Nano Entrepreneur,39744.0,12.0,188.0,11.0,Unknown,1830212.5
1373,Kathua,Other,It,Rural,Existing Enterprise,36479.0,18.0,212.0,55.0,Default,29024.0
1374,Kathua,Unknown,Unknown,Urban,Msme Sunrise Sector,115621.0,60.0,188.0,24.0,Unknown,4933000.0
1375,Rajouri,Other,Services,Unknown,Existing Enterprise,50630.0,36.0,212.0,68.0,Late,390000.0
1376,Pulwama,Other,Services,Rural,Nano Entrepreneur,97200.0,60.0,188.0,62.0,Default,1830212.5
1377,Ramban,Unknown,Unknown,Rural,Nano Entrepreneur,32334.0,60.0,188.0,10.0,Late,1547829.0
1378,Doda,Female,Manufacturing,Rural,Msme Sunrise Sector,115103.0,12.0,164.0,36.0,Late,1335183.0
1379,Rajouri,Unknown,Manufacturing,Unknown,Unknown,11465.0,18.0,164.0,40.0,Unknown,2011959.0
1380,Doda,Male,Tourism,Rural,Nano Entrepreneur,18045.0,36.0,212.0,49.0,On-Time,4178337.0
1381,Kishtwar,Unknown,Services,Urban,Unknown,64658.0,36.0,188.0,80.0,On-Time,370507.0
1382,Udhampur,Unknown,Healthcare,Rural,Nano Entrepreneur,117789.0,48.0,188.0,5.0,Default,1830212.5
1383,Ganderbal,Male,Manufacturing,Urban,Msme Sunrise Sector,60156.0,24.0,164.0,91.0,Default,1830212.5
1384,Kathua,Male,Services,Rural,Msme Sunrise Sector,64658.0,35.12,188.0,28.0,On-Time,1830212.5
1385,Ramban,Male,Retail,Rural,Nano Entrepreneur,17780.0,24.0,164.0,47.0,Late,1252030.0
1386,Baramulla,Male,Healthcare,Urban,Msme Sunrise Sector,69490.0,60.0,164.0,23.0,Late,3303747.0
1387,Srinagar,Other,Manufacturing,Urban,Existing Enterprise,64658.0,35.12,188.0,57.0,On-Time,1035290.0
1388,Ramban,Other,Unknown,Rural,Unknown,21183.0,18.0,197.0,9.0,Unknown,4760067.0
1389,Ramban,Female,Agri,Rural,Existing Enterprise,55256.0,60.0,188.0,95.0,Unknown,104000.0
1390,Pulwama,Other,Tourism,Rural,Msme Sunrise Sector,20891.0,36.0,164.0,96.0,Late,5480404.0
1391,Samba,Other,Unknown,Unknown,Unknown,41599.0,60.0,188.0,85.0,Unknown,15650.0
1392,Srinagar,Unknown,Agri,Urban,Nano Entrepreneur,104121.0,12.0,212.0,6.0,Unknown,2931326.0
1393,Kathua,Male,Manufacturing,Unknown,Existing Enterprise,106301.0,48.0,188.0,23.0,On-Time,2005103.0
1394,Rajouri,Male,Services,Urban,Nano Entrepreneur,26741.0,60.0,212.0,22.0,Unknown,47659.0
1395,Udhampur,Unknown,Retail,Rural,Nano Entrepreneur,64658.0,12.0,188.0,58.0,Unknown,2294000.0
1396,Samba,Female,Tourism,Urban,Unknown,80977.0,12.0,188.0,6.0,Default,3695754.0
1397,Kathua,Female,Tourism,Rural,Msme Sunrise Sector,73836.0,12.0,188.0,55.0,Default,48989.0
1398,Poonch,Female,It,Urban,Existing Enterprise,32281.0,12.0,188.0,66.0,Late,4595698.0
1399,Kulgam,Male,Healthcare,Unknown,Nano Entrepreneur,61929.0,18.0,188.0,34.0,On-Time,4478000.0
1400,Budgam,Other,It,Rural,Msme Sunrise Sector,75535.0,36.0,188.0,39.0,Default,136031.0
1401,Baramulla,Unknown,Agri,Unknown,Existing Enterprise,22046.0,18.0,188.0,82.0,Late,3158181.0
1402,Reasi,Female,Services,Rural,Unknown,38048.0,18.0,188.0,38.0,Late,1830212.5
1403,Srinagar,Male,Unknown,Rural,Nano Entrepreneur,32894.0,24.0,188.0,9.0,Unknown,508000.0
1404,Bandipora,Male,Healthcare,Unknown,Existing Enterprise,111683.0,60.0,188.0,34.0,On-Time,5626661.0
1405,Jammu,Unknown,Services,Unknown,Msme Sunrise Sector,42996.0,36.0,212.0,81.0,On-Time,653643.0
1406,Poonch,Female,It,Rural,Msme Sunrise Sector,106165.0,12.0,192.0,29.0,On-Time,714000.0
1407,Ramban,Female,Retail,Unknown,Existing Enterprise,57928.0,60.0,164.0,89.0,On-Time,141474.0
1408,Kathua,Male,Healthcare,Rural,Unknown,34746.0,36.0,188.0,56.0,Unknown,2598000.0
1409,Samba,Female,Manufacturing,Unknown,Nano Entrepreneur,64658.0,60.0,186.0,31.0,Unknown,4539956.0
1410,Samba,Female,Retail,Urban,Nano Entrepreneur,43147.0,36.0,186.0,47.0,On-Time,3335912.0
1411,Shopian,Other,Manufacturing,Rural,Nano Entrepreneur,26122.0,12.0,183.0,54.0,Default,3603344.0
1412,Kulgam,Female,Unknown,Rural,Msme Sunrise Sector,64658.0,36.0,188.0,93.0,Default,3868000.0
1413,Ramban,Other,Agri,Unknown,Nano Entrepreneur,83660.0,36.0,164.0,67.0,On-Time,64704.0
1414,Samba,Female,Healthcare,Unknown,Msme Sunrise Sector,73541.0,36.0,212.0,89.0,Late,943000.0
1415,Samba,Other,Tourism,Rural,Nano Entrepreneur,67912.0,48.0,164.0,92.0,Default,29953.0
1416,Kupwara,Female,Retail,Rural,Unknown,37377.0,60.0,188.0,56.0,Late,1830212.5
1417,Reasi,Female,Services,Unknown,Msme Sunrise Sector,17871.0,18.0,188.0,33.0,Late,510000.0
1418,Rajouri,Unknown,Unknown,Urban,Unknown,91836.0,35.12,164.0,49.0,On-Time,1584288.0
1419,Bandipora,Other,Retail,Rural,Nano Entrepreneur,64658.0,24.0,188.0,23.0,Default,1830212.5
1420,Budgam,Unknown,Services,Rural,Existing Enterprise,104448.0,48.0,188.0,53.0,On-Time,19991.0
1421,Anantnag,Other,Services,Rural,Nano Entrepreneur,54311.0,36.0,187.0,93.0,Late,3025000.0
1422,Ramban,Unknown,It,Unknown,Existing Enterprise,34514.0,60.0,212.0,72.0,Default,4502581.0
1423,Bandipora,Male,Manufacturing,Unknown,Msme Sunrise Sector,40966.0,24.0,188.0,10.0,Late,34139.0
1424,Doda,Female,Healthcare,Urban,Existing Enterprise,39308.0,48.0,212.0,42.0,Late,3576000.0
1425,Kulgam,Male,Retail,Unknown,Existing Enterprise,48515.0,60.0,164.0,28.0,On-Time,2247263.0
1426,Ganderbal,Male,Retail,Rural,Msme Sunrise Sector,16669.0,24.0,164.0,48.0,Default,2605000.0
1427,Kupwara,Male,Retail,Urban,Msme Sunrise Sector,23730.0,12.0,211.0,35.0,On-Time,1830212.5
1428,Anantnag,Male,Healthcare,Unknown,Nano Entrepreneur,28699.0,24.0,188.0,51.0,Late,1830212.5
1429,Shopian,Other,Agri,Unknown,Unknown,38605.0,60.0,172.0,83.0,On-Time,2483123.0
1429,Kathua,Female,It,Unknown,Existing Enterprise,102556.0,36.0,183.0,9.0,On-Time,3324228.0
1431,Baramulla,Other,It,Rural,Unknown,99612.0,24.0,212.0,82.0,Late,3110000.0
1432,Anantnag,Female,Tourism,Rural,Msme Sunrise Sector,30419.0,60.0,209.0,51.0,Late,856210.0
1433,Udhampur,Male,It,Urban,Existing Enterprise,57385.0,18.0,164.0,36.0,On-Time,2813000.0
1434,Baramulla,Male,Retail,Unknown,Nano Entrepreneur,97405.0,60.0,188.0,14.0,Late,3974813.0
1435,Udhampur,Female,Retail,Unknown,Existing Enterprise,99842.0,48.0,188.0,47.0,On-Time,2440417.0
1436,Ganderbal,Male,Retail,Urban,Nano Entrepreneur,43042.0,36.0,208.0,43.0,Default,10653.0
1437,Udhampur,Female,It,Rural,Unknown,17870.0,36.0,166.0,70.0,Default,3979000.0
1438,Poonch,Female,Healthcare,Rural,Msme Sunrise Sector,104996.0,35.12,169.0,19.0,Default,3749000.0
1439,Poonch,Female,Healthcare,Rural,Existing Enterprise,105265.0,36.0,212.0,5.0,Unknown,717390.0
1440,Bandipora,Unknown,It,Urban,Existing Enterprise,117907.0,18.0,193.0,93.0,On-Time,5344362.0
1441,Shopian,Female,Healthcare,Rural,Unknown,56799.0,60.0,164.0,77.0,On-Time,2712000.0
1442,Rajouri,Female,Retail,Unknown,Existing Enterprise,60316.0,60.0,188.0,91.0,Late,2011274.0
1443,Shopian,Female,Unknown,Rural,Existing Enterprise,31469.0,48.0,188.0,14.0,Unknown,3757075.0
1444,Baramulla,Female,Unknown,Urban,Msme Sunrise Sector,82710.0,35.12,188.0,100.0,On-Time,24684.0
1445,Budgam,Male,Manufacturing,Rural,Nano Entrepreneur,10563.0,24.0,188.0,57.0,Default,3330448.0
1446,Reasi,Male,It,Urban,Msme Sunrise Sector,69685.0,35.12,164.0,34.0,Unknown,1830212.5
1447,Srinagar,Other,Retail,Rural,Msme Sunrise Sector,81607.0,60.0,188.0,42.0,Unknown,3795000.0
1448,Pulwama,Other,Tourism,Unknown,Existing Enterprise,63489.0,35.12,164.0,40.0,On-Time,4964044.0
1448,Rajouri,Female,Retail,Unknown,Existing Enterprise,43517.0,35.12,188.0,25.0,On-Time,8246.0
1450,Ganderbal,Other,Manufacturing,Urban,Unknown,45481.0,60.0,212.0,7.0,Late,514256.0
1451,Ganderbal,Male,Manufacturing,Unknown,Existing Enterprise,80396.0,48.0,188.0,51.0,Late,35300.0
1452,Kulgam,Female,Unknown,Urban,Msme Sunrise Sector,48768.0,12.0,212.0,14.0,On-Time,719066.0
1453,Doda,Female,Retail,Urban,Existing Enterprise,15742.0,48.0,164.0,39.0,Unknown,191000.0
1454,Doda,Other,Unknown,Urban,Existing Enterprise,33889.0,35.12,188.0,91.0,On-Time,3155000.0
1455,Srinagar,Male,Tourism,Rural,Unknown,104487.0,60.0,209.0,82.0,Late,3024000.0
1456,Samba,Male,Tourism,Urban,Nano Entrepreneur,77204.0,48.0,212.0,89.0,Late,23014.0
1457,Kathua,Female,Services,Unknown,Nano Entrepreneur,94517.0,18.0,188.0,92.0,Unknown,11978.0
1457,Jammu,Male,Retail,Unknown,Nano Entrepreneur,8874.0,12.0,212.0,80.0,Late,1830212.5
1459,Anantnag,Unknown,Healthcare,Rural,Nano Entrepreneur,64658.0,36.0,212.0,80.0,Unknown,4980000.0
1460,Kathua,Female,Manufacturing,Urban,Nano Entrepreneur,53274.0,36.0,188.0,1.0,On-Time,34856.0
1461,Kulgam,Unknown,Tourism,Urban,Unknown,61758.0,24.0,212.0,77.0,On-Time,1830212.5
1462,Pulwama,Female,Manufacturing,Rural,Nano Entrepreneur,58275.0,24.0,188.0,55.0,Default,20705.0
1463,Reasi,Male,Retail,Urban,Nano Entrepreneur,106426.0,12.0,188.0,95.0,Late,47471.0
1464,Udhampur,Male,Services,Rural,Nano Entrepreneur,109070.0,18.0,164.0,64.0,Unknown,760089.0
1465,Baramulla,Other,Agri,Urban,Existing Enterprise,41941.0,60.0,212.0,78.0,On-Time,314545.0
1466,Pulwama,Female,Manufacturing,Urban,Existing Enterprise,50983.0,48.0,166.0,28.0,Unknown,40493.0
1467,Kathua,Other,Healthcare,Unknown,Unknown,64658.0,35.12,188.0,66.0,On-Time,1830212.5
1468,Baramulla,Other,Services,Urban,Nano Entrepreneur,108379.0,35.12,188.0,32.0,Unknown,3965793.0
1469,Reasi,Unknown,Unknown,Rural,Nano Entrepreneur,108154.0,24.0,188.0,38.0,On-Time,1830212.5
